Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms,Publisher_clean
PS4_FIFA 19,PS4,FIFA 19,Electronic Arts,EA Sports,0,9150000,840000,6870000,100000,1340000,28/09/2018,12/09/2018,3.31,650,80,"Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",electronic arts
PS4_Star Wars Battlefront (2015),PS4,Star Wars Battlefront (2015),Electronic Arts,EA DICE,0,8029999.999999999,3310000,3190000,230000,1300000,17/11/2015,24/03/2018,,,,,,electronic arts
PS4_Battlefield 1,PS4,Battlefield 1,Electronic Arts,EA DICE,0,7260000,2200000,3650000,290000,1120000,21/10/2016,24/03/2018,3.84,1960,88,"Shooter, Action","PC, Xbox One, PlayStation 4",electronic arts
PS4_Star Wars Battlefront II (2017),PS4,Star Wars Battlefront II (2017),Electronic Arts,EA DICE,0,4530000,1700000,1990000,120000,730000,17/11/2017,29/12/2017,,,,,,electronic arts
PS4_Battlefield 4,PS4,Battlefield 4,Electronic Arts,EA DICE,0,3940000,1400000,1740000,190000,620000,15/11/2013,09/01/2018,3.95,1591,81,Shooter,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",electronic arts
PS4_Need for Speed (2015),PS4,Need for Speed (2015),Electronic Arts,Ghost Games,0,2720000,590000,1660000,60000,410000,03/11/2015,03/04/2018,,,,,,electronic arts
PS4_Dragon Age: Inquisition,PS4,Dragon Age: Inquisition,Electronic Arts,BioWare Edmonton,0,2340000,1070000,800000,80000,380000,18/11/2014,05/01/2019,3.8,1552,86,"Strategy, Action, RPG","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",electronic arts
PS4_Battlefield V,PS4,Battlefield V,Electronic Arts,EA DICE,0,2220000,800000,930000,160000,340000,20/11/2018,19/12/2018,3.51,1003,77,"Massively Multiplayer, Shooter, Adventure, Action","PC, Xbox One, PlayStation 4",electronic arts
PS4_Need for Speed: Payback,PS4,Need for Speed: Payback,Electronic Arts,Ghost Games,0,2180000,620000,1180000,40000,340000,10/11/2017,04/04/2018,,,,,,electronic arts
PS4_Need for Speed Rivals,PS4,Need for Speed Rivals,Electronic Arts,Ghost Games,0,2170000,750000,1040000,30000,350000,15/11/2013,16/01/2018,3.15,684,77,"Racing, Arcade","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",electronic arts
PS4_Battlefield: Hardline,PS4,Battlefield: Hardline,Electronic Arts,EA DICE,0,2150000,720000,970000,140000,330000,17/03/2015,11/04/2018,,,,,,electronic arts
PS4_Titanfall 2,PS4,Titanfall 2,Electronic Arts,Respawn Entertainment,0,1720000,750000,620000,60000,280000,28/10/2016,29/06/2018,4.31,2048,87,"Shooter, Action","PC, Xbox One, PlayStation 4",electronic arts
PS4_Mass Effect: Andromeda,PS4,Mass Effect: Andromeda,Electronic Arts,BioWare Corp.,0,1490000,580000,670000,0,250000,21/03/2017,03/07/2018,3.21,1165,73,"Action, RPG","PC, Xbox One, PlayStation 4",electronic arts
PS4_The Sims 4,PS4,The Sims 4,Electronic Arts,Maxis,0,1390000,440000,720000,10000,220000,17/11/2017,29/12/2017,3.68,1140,67,"Casual, Strategy, Simulation","PC, Xbox One, PlayStation 4, Xbox Series S/X, macOS",electronic arts
PS4_EA Sports UFC,PS4,EA Sports UFC,Electronic Arts,EA Canada,0,1110000,490000,430000,10000,180000,17/06/2014,05/01/2018,3.3,166,71,"Fighting, Simulation, Sports","Xbox One, PlayStation 4, iOS, Android",electronic arts
PS4_Plants vs Zombies: Garden Warfare,PS4,Plants vs Zombies: Garden Warfare,Electronic Arts,PopCap Games,0,660000,240000,300000,10000,110000,19/08/2014,05/02/2018,,,,,,electronic arts
PS4_Plants vs. Zombies: Garden Warfare 2,PS4,Plants vs. Zombies: Garden Warfare 2,Electronic Arts,PopCap Games,0,630000,220000,310000,0,100000,23/02/2016,23/05/2018,,,,,,electronic arts
PS4_Rory McIlroy PGA Tour,PS4,Rory McIlroy PGA Tour,Electronic Arts,EA Tiburon,0,550000,190000,270000,0,90000,14/07/2015,24/05/2018,0,1,,Sports,"Xbox One, PlayStation 4",electronic arts
PS4_A Way Out,PS4,A Way Out,Electronic Arts,Hazelight,0,480000,230000,160000,0,80000,23/03/2018,24/03/2018,4.12,1594,78,"Adventure, Action","PC, Xbox One, PlayStation 4",electronic arts
PS4_Mirror's Edge Catalyst,PS4,Mirror's Edge Catalyst,Electronic Arts,EA DICE,0,420000,130000,190000,30000,60000,07/06/2016,04/09/2018,3.49,846,72,"Platformer, Adventure, Action","PC, Xbox One, PlayStation 4",electronic arts
PS4_Burnout Paradise Remastered,PS4,Burnout Paradise Remastered,Electronic Arts,Stellar Entertainment,0,370000,80000,220000,10000,60000,16/03/2018,24/02/2018,3.88,420,80,"Racing, Arcade","PC, Xbox One, PlayStation 4, Nintendo Switch",electronic arts
PS4_NBA Live 15,PS4,NBA Live 15,Electronic Arts,EA Tiburon,0,250000,160000,40000,0,40000,28/10/2014,30/05/2018,,,,,,electronic arts
PS4_NBA Live 19,PS4,NBA Live 19,Electronic Arts,EA Tiburon,0,190000,150000,0,0,40000,07/09/2018,13/06/2018,2.72,64,74,"Simulation, Sports","Xbox One, PlayStation 4",electronic arts
PS4_Unravel,PS4,Unravel,Electronic Arts,ColdWood Interactive,0,0,0,0,0,0,09/02/2016,,3.94,781,78,"Adventure, Action, Puzzle, Arcade, Platformer","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360",electronic arts
PS4_Apex Legends,PS4,Apex Legends,Electronic Arts,Respawn Entertainment,0,0,0,0,0,0,04/02/2019,15/03/2019,3.64,2396,80,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",electronic arts
PS4_Anthem,PS4,Anthem,Electronic Arts,BioWare Corp.,0,0,0,0,0,0,22/02/2019,10/06/2018,2.67,520,59,"Shooter, Adventure, Action, RPG","PC, Xbox One, PlayStation 4",electronic arts
PS4_EA Sports FC 24,PS4,EA Sports FC 24,Electronic Arts,EA Sports,0,0,0,0,0,0,29/09/2023,06/11/2023,3.48,64,,"Casual, Simulation, Sports","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch",electronic arts
PS4_Fe,PS4,Fe,Electronic Arts,Zoink Games,0,0,0,0,0,0,16/02/2018,18/07/2018,3.03,130,71,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",electronic arts
PS4_F1 23,PS4,F1 23,Electronic Arts,Codemasters,0,0,0,0,0,0,16/06/2023,23/06/2023,3.67,21,,"Racing, Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",electronic arts
PS4_FIFA 21,PS4,FIFA 21,Electronic Arts,EA Vancouver,0,0,0,0,0,0,09/10/2020,19/06/2020,3.21,264,67,Sports,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",electronic arts
PS4_Peggle 2,PS4,Peggle 2,Electronic Arts,PopCap Games,0,0,0,0,0,0,14/10/2014,,3.7,175,74,"Family, Arcade","PC, Xbox One, PlayStation 4, Xbox 360",electronic arts
PS4_Cel Damage,PS4,Cel Damage,Electronic Arts,Unknown,0,0,0,0,0,0,22/04/2014,,,,,,,electronic arts
PS3_Battlefield 3,PS3,Battlefield 3,Electronic Arts,Dice,0,7210000,2860000,2940000,350000,1070000,25/10/2011,,4.07,1356,86,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3",electronic arts
PS3_Battlefield 4,PS3,Battlefield 4,Electronic Arts,EA DICE,0,3640000,1310000,1500000,270000,550000,29/10/2013,,3.95,1591,81,Shooter,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",electronic arts
PS3_Battlefield: Bad Company 2,PS3,Battlefield: Bad Company 2,Electronic Arts,EA Digital Illusions CE,0,2960000,1330000,1110000,80000,440000,02/03/2010,,4.13,912,87,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3",electronic arts
PS3_Medal of Honor,PS3,Medal of Honor,Electronic Arts,EA Los Angeles,0,2820000,1280000,1040000,70000,430000,12/10/2010,,3.28,706,72,Shooter,"PC, Xbox 360, PlayStation 3",electronic arts
PS3_Need for Speed: Hot Pursuit,PS3,Need for Speed: Hot Pursuit,Electronic Arts,Criterion Games,0,2810000,1050000,1240000,30000,490000,16/11/2010,,3.86,772,86,"Racing, Arcade","PC, Nintendo Switch, iOS, Android, Xbox 360, PlayStation 3, Wii",electronic arts
PS3_Need for Speed: Most Wanted (2012),PS3,Need for Speed: Most Wanted (2012),Electronic Arts,Criterion Games,0,2740000,710000,1520000,60000,450000,30/10/2012,,,,,,,electronic arts
PS3_Need for Speed: Shift,PS3,Need for Speed: Shift,Electronic Arts,Slightly Mad Studios,0,2650000,690000,1400000,40000,520000,15/09/2009,,3.56,406,83,Racing,"PC, Android, Xbox 360, PlayStation 3, PSP",electronic arts
PS3_FIFA Soccer 09,PS3,FIFA Soccer 09,Electronic Arts,EA Canada,0,2590000,490000,1630000,40000,430000,14/10/2008,,,,,,,electronic arts
PS3_Need for Speed: Undercover,PS3,Need for Speed: Undercover,Electronic Arts,EA Vancouver,0,2060000,630000,1010000,50000,380000,17/11/2008,,,,,,,electronic arts
PS3_Need for Speed: ProStreet,PS3,Need for Speed: ProStreet,Electronic Arts,EA Black Box,0,2040000,730000,910000,40000,360000,13/11/2007,,3.53,409,72,"Racing, Arcade","PC, Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii",electronic arts
PS3_Madden NFL 25,PS3,Madden NFL 25,Electronic Arts,EA Tiburon,0,2040000,1620000,30000,0,380000,27/08/2013,,2.93,41,,Sports,"Xbox One, PlayStation 4, Xbox 360, PlayStation 3",electronic arts
PS3_The Sims 3,PS3,The Sims 3,Electronic Arts,The Sims Studio,0,2030000,730000,960000,20000,310000,26/10/2010,,4.03,778,86,"Casual, Simulation","PC, iOS, Nintendo 3DS, Nintendo DS, Xbox 360, PlayStation 3",electronic arts
PS3_Need for Speed: The Run,PS3,Need for Speed: The Run,Electronic Arts,EA Black Box,0,2010000,580000,1050000,30000,350000,15/11/2011,,3.74,427,66,"Racing, Arcade","PC, Nintendo 3DS, Xbox 360, PlayStation 3, Wii",electronic arts
PS3_Dead Space,PS3,Dead Space,Electronic Arts,EA Redwood Shores,0,2000000,1050000,660000,0,290000,13/10/2008,,,,,,,electronic arts
